,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
10,10000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5157.506994158354,1.1082409903631058e+18,830548.2881486374,37783095515.34932,7797.550122014847,8623198.005964022,14674.47468768141,8650527.751427023,5000.636409933673,8628662.071438761,4224.400378203727,1.1074631280393562e+18
11,11000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,6820.7378286745425,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7441.605317306443,1.1085356870563099e+18,14414.377081074792,1.1089714620974033e+18,4910.361857198744,1.107728605013376e+18,5080.917012476217,1.1074631280393562e+18
12,12000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,193463.29193325568,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,981451.1046155889,6820.7378286745425,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7441.605317306443,189576938032.29492,14414.377081074792,871929.2262900113,4910.361857198744,1.107728605013376e+18,5080.917012476217,1.1074631280393562e+18
13,13000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,874149129060.3569,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,6820.7378286745425,335140.1262599139,830548.2881486374,872272186714.3698,7441.605317306443,1.1085356870563099e+18,14414.377081074792,1.1089714620974033e+18,4910.361857198744,2014546703476.9067,5080.917012476217,199114.18590937814
14,14000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,62376.90259766178,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,16433224843116.07,5691.555702504448,189627130735.23184,830548.2881486374,22344.257572902825,7660.912762178125,1.1085356870563099e+18,14674.47468768141,1.1089714620974033e+18,4910.361857198744,189587533397.96976,4493.887557333576,189586691765.85812
15,15000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,254603.39018148027,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5842.777108020802,1.1082409903631058e+18,830548.2881486374,45775.95467431991,7526.714024527835,1.1085356870563099e+18,15182.39633045301,1.1089714620974033e+18,5074.147434373926,1.107728605013376e+18,4606.775610206031,1.1074631280393562e+18
16,16000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,189609403513.09598,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4512.136393111937,1.1082409903631058e+18,830548.2881486374,201312.26909359905,13398.109011674089,1.1085356870563099e+18,44696.026531321826,1.1089714620974033e+18,7524.995281933236,1.107728605013376e+18,4536.2223546494115,1.1074631280393562e+18
17,17000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,154773.05875662604,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,15916551.228035673,4062.6659378850823,1.1082409903631058e+18,830548.2881486374,6754686836124.357,14172.759027477674,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7524.995281933236,1.107728605013376e+18,4144.52253462125,1.1074631280393562e+18
18,18000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,16183.31308390676,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4062.6659378850823,8640200.426056,830548.2881486374,32150.496207880467,14172.759027477674,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7524.995281933236,1.107728605013376e+18,4144.52253462125,1.1074631280393562e+18
19,19000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1876781.9406273835,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4062.6659378850823,553710315355.0272,830548.2881486374,1296846.9737550986,14172.759027477674,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7524.995281933236,1.107728605013376e+18,4144.52253462125,554463648749.8207
20,20000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4488.423893253949,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,13754.1526272799,1.1085356870563099e+18,40648.19946228851,1.1089714620974033e+18,7216.604233298922,1.107728605013376e+18,4493.887557333576,1.1074631280393562e+18
